campaign_id,campaign_name,status,period_a_start,period_a_end,period_a_sent,period_a_replies,period_a_positive_replies,period_a_bounces,period_b_start,period_b_end,period_b_sent,period_b_replies,period_b_positive_replies,period_b_bounces
3266304,Mehco | Campaign#5 | V1 | Client Name,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,119,5,0,0
3261659,Parabolic Agency | Electrical Contractors | Proposals,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,1000,8,0,11
3261658,Perfect Imprints | Medical Equipment | HR,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,1362,23,0,4
3260893,One Point | Local | Marketing,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,804,10,0,26
3260883,One Point | Local | Sales,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,970,14,1,40
3255169,Steamboat | Campaign#9 | V2 | Accounting | Event Fallback,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,4598,54,6,34
3254881,Steamboat | Campaign#9 | V2 | Accounting | Event,PAUSED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,1152,6,1,10
3254433,Doing Good Works | Campaign#4 | V1 | Tech,PAUSED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,2335,23,0,10
3254332,Pacific Color | Campaign#6 | V1 | HR | California,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,4038,30,3,83
3254151,Pacific Color | Campaign#5 | V1 | Marketing | California,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,3918,44,2,86
3254118,Doing Good Works / DGW Branded | Retail | New Hire Gifting,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,1663,20,0,9
3249931,NBS Promos | Logistics | Employee Gifting,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,634,6,1,9
3242443,Pacific Color | SAAS | DreamForce 2026,PAUSED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,979,3,0,27
3242107,Mehco | Construction | Crew Gear,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,3957,39,4,27
3241996,"NBS Promos, Inc. | Equipment Rental | Event",ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,988,3,0,1
3241939,"NBS Promos, Inc. | Equipment rental companies | Crew Gear",PAUSED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,2379,10,2,48
3229303,Perfect Imprints | Medical Equipment | Upcoming Tradeshow,COMPLETED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,3407,20,0,25
3212361,Imprint Engine  - AI Samples,COMPLETED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,1036,9,1,7
3183314,MSP | Campaign#1 | V1 | IT Firms - Corporate Gifting,ACTIVE,2026-04-05,2026-04-18,3234,100,8,24,2026-04-19,2026-05-02,13265,166,25,119
3178087,Steamboat | Campaign#8 | V2 | Retail | Employee Month Gifts,COMPLETED,2026-04-05,2026-04-18,1803,26,4,14,2026-04-19,2026-05-02,3467,44,14,13
3177766,Imprint Engine | Campaign#3 | V1 | Tech| EMEA,ACTIVE,2026-04-05,2026-04-18,1929,40,3,41,2026-04-19,2026-05-02,4138,126,14,18
3176961,Pacific Color | SAAS | SKO - Fallback,PAUSED,2026-04-05,2026-04-18,3287,28,5,8,2026-04-19,2026-05-02,1971,1,0,3
3175979,Diskko | FMCG | Loyalty,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,2890,17,1,7
3172685,MSP | Campaign#1 | V1 | IT Firms - Event Trigger - 3rd follow up,COMPLETED,2026-04-05,2026-04-18,3014,26,2,17,2026-04-19,2026-05-02,0,1,1,0
3169650,Steamboat | Campaign#6 | V1 | HR | New York,COMPLETED,2026-04-05,2026-04-18,6389,142,15,68,2026-04-19,2026-05-02,15,2,0,0
3169470,All ways Advertising | Warehousing ,PAUSED,2026-04-05,2026-04-18,3086,78,1,27,2026-04-19,2026-05-02,5,1,0,0
3152415,Pacific Color | IT Firms | Employee Gifting ,PAUSED,2026-04-05,2026-04-18,2454,18,1,27,2026-04-19,2026-05-02,0,0,0,0
3152239,SWAG | Campaign#1 | V1 | B2B SaaS - Corporate Gifng,PAUSED,2026-04-05,2026-04-18,1401,9,0,851,2026-04-19,2026-05-02,0,0,0,0
3148307,Cedar Promo | Campaign#4 | V1 | Marketing | Texas - copy,ACTIVE,2026-04-05,2026-04-18,7801,96,13,68,2026-04-19,2026-05-02,825,6,3,23
3148298,Imprint Engine | Campaign#1 | V1 | Tech| Corporate Gifting  - Updated Scripts - copy,PAUSED,2026-04-05,2026-04-18,5525,87,6,50,2026-04-19,2026-05-02,0,1,1,0
3136925,Swag.com | Employee Gifting | World Cup,COMPLETED,2026-04-05,2026-04-18,10515,203,22,134,2026-04-19,2026-05-02,344,7,4,2
3136923,Pacific Color | Employee Gifting | SAAS (200+),ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,2148,25,1,6
3136922,Diskko | Hotels | Miami F1 GP,PAUSED,2026-04-05,2026-04-18,547,15,0,21,2026-04-19,2026-05-02,515,8,3,6
3136920,VOX Marketing Group | Solar Companies | Employee gifting,COMPLETED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,2210,30,11,10
3136918,Pacific Color | Campaign#3| V1 | HR | SAAS ,PAUSED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,1808,1,0,28
